id,x,y,color,color_weight,cluster,PCA_100_cluster_2_without_concat,PCA_100_cluster_20_without_concat,PCA_500_cluster_2_without_concat,PCA_500_cluster_20_without_concat,PCA_100_cluster_2_with_concat,PCA_100_cluster_20_with_concat,PCA_500_cluster_2_with_concat,PCA_500_cluster_20_with_concat,PCA_500_cluster_10_without_concat,PCA_500_cluster_10_with_concat,object.1
IMG2744_1,-9.380678081,3.58271965,"[[105.42161563 107.14448812 100.08701536]
 [ 58.14017636  61.9299151   26.53782969]
 [169.43919956 171.70471491 174.84369518]]","[0.6348333333333334, 0.28917916666666665, 0.0759875]",IMG2744,0,6,0,15,0,0,0,0,2,7,patio
IMG2744_2,-9.380678081,3.58271965,"[[ 70.89338335  69.35952808  46.43450226]
 [216.41768695 222.7462117  226.91476599]
 [131.6306641  131.84841772 136.90514817]]","[0.24418333333333334, 0.383675, 0.37214166666666665]",IMG2744,0,3,0,0,0,0,0,0,2,7,patio
IMG2744_3,-9.380678081,3.58271965,"[[102.4665223  104.16690078 106.75012681]
 [ 55.86421687  56.15079937  32.35272496]
 [167.41360952 176.16299379 194.71016036]]","[0.38762083333333336, 0.21436666666666668, 0.3980125]",IMG2744,0,3,0,0,0,0,0,0,2,7,patio
IMG2744_4,-9.380678081,3.58271965,"[[172.34591855 173.62166457 174.12597505]
 [ 68.18486785  67.20882951  70.74034272]
 [119.37874918 120.60836253 122.05574033]]","[0.14006666666666667, 0.80195, 0.05798333333333333]",IMG2744,0,10,0,16,0,0,0,0,0,7,patio
IMG2744_5,-9.380678081,3.58271965,"[[176.59672634 180.22641643 181.04637214]
 [ 57.84567745  62.21632963  35.27884226]
 [117.98556029 121.31920145 123.29255516]]","[0.5870208333333333, 0.24822083333333333, 0.16475833333333334]",IMG2744,0,9,0,5,0,0,0,0,0,7,patio
IMG2745_1,11.31932192,-23.81728035,"[[174.75786186 177.44520073 177.7477831 ]
 [127.56686445 124.57674814 119.24045075]
 [ 53.95010348  49.11079296  48.01684008]]","[0.26500416666666665, 0.58775, 0.14724583333333333]",IMG2745,0,9,0,5,0,3,0,3,0,7,patio
IMG2745_2,11.31932192,-23.81728035,"[[169.12415255 170.28459846 170.43636482]
 [ 56.06505334  45.39615318  38.9092289 ]
 [114.24057918 108.5652635  109.93529503]]","[0.2944791666666667, 0.5130416666666666, 0.19247916666666667]",IMG2745,0,9,0,5,0,3,0,3,0,7,patio
IMG2745_3,11.31932192,-23.81728035,"[[ 59.54263951  57.70259761  64.85962607]
 [178.35025542 181.5244511  184.3125494 ]
 [113.18112982 110.54276269 112.36734467]]","[0.3531166666666667, 0.4120125, 0.23487083333333333]",IMG2745,0,11,0,11,0,3,0,3,2,7,patio
IMG2745_4,11.31932192,-23.81728035,"[[167.60520809 172.24618306 180.64328063]
 [ 66.52504388  60.22087965  36.89354125]
 [115.06058491 113.00990121 111.02800253]]","[0.6450791666666666, 0.190875, 0.16404583333333334]",IMG2745,0,11,0,0,0,3,0,3,2,7,patio
IMG2745_5,11.31932192,-23.81728035,"[[ 64.5492873   66.7064673   34.52145334]
 [166.23672807 171.72361806 177.78258808]
 [124.00283385 124.85861552 118.81395158]]","[0.6236541666666666, 0.20295, 0.17339583333333333]",IMG2745,0,3,0,0,0,3,0,3,2,7,patio
IMG2746_1,45.31932192,-18.81728035,"[[156.12717067  83.18722834  24.12459574]
 [109.48717198  47.96815574  13.74396436]
 [193.25247622 129.60209905  47.97003936]]","[0.2535791666666667, 0.40427083333333336, 0.34215]",IMG2746,1,4,1,7,1,6,1,6,4,1,throne
IMG2746_2,45.31932192,-18.81728035,"[[114.20811817  56.80787246  19.50467433]
 [166.37926189 102.29133082  35.5439509 ]
 [162.21232301  22.14446844  21.71658267]]","[0.43315, 0.42804583333333335, 0.13880416666666667]",IMG2746,1,4,1,7,1,6,1,6,4,1,throne
IMG2746_3,45.31932192,-18.81728035,"[[149.60573126  26.34009719  26.89115615]
 [164.63309781 116.77282498  47.13833319]
 [ 94.4289399   52.4642765   22.06185195]]","[0.24222916666666666, 0.3910666666666667, 0.36670416666666666]",IMG2746,1,2,1,7,1,6,1,6,4,1,throne
IMG2746_4,45.31932192,-18.81728035,"[[153.60565961 100.54783253  34.27065702]
 [123.79593988  35.22580347  20.70536879]
 [186.65455569 157.70789587  74.23733978]]","[0.2522041666666667, 0.2977875, 0.45000833333333334]",IMG2746,1,2,1,7,1,6,1,6,4,1,throne
IMG2746_5,45.31932192,-18.81728035,"[[ 99.80643264  50.12781964  16.96935612]
 [148.43156996  83.06517583  29.4091057 ]
 [181.16997219 126.88842817  53.01144028]]","[0.41025833333333334, 0.3391958333333333, 0.25054583333333336]",IMG2746,1,4,1,7,1,6,1,6,4,1,throne
IMG2747_1,80.41932192,-25.01728035,"[[132.20267135 105.91959032  79.49677618]
 [ 78.57740773  66.77524116  53.92314063]
 [103.08747911 126.65805401 117.00508917]]","[0.18545833333333334, 0.3255625, 0.4889791666666667]",IMG2747,1,2,1,10,1,4,1,4,1,9,Unknow
IMG2747_2,80.41932192,-25.01728035,"[[ 87.58173162  84.58530014  73.67245522]
 [201.38584243 218.7051995  224.30697731]
 [168.65859365 184.9565643  188.28654639]]","[0.4717208333333333, 0.42582916666666665, 0.10245]",IMG2747,1,8,1,13,1,4,1,4,3,9,Unknow
IMG2747_3,80.41932192,-25.01728035,"[[ 79.95559875  82.1520145   66.96625927]
 [103.04080214 131.34720925 130.77873857]
 [131.48729798 107.6997962   82.47770036]]","[0.6321208333333334, 0.17588333333333334, 0.19199583333333334]",IMG2747,1,1,1,10,1,4,1,4,1,9,Unknow
IMG2747_4,80.41932192,-25.01728035,"[[129.48443839 101.70024988  72.00485433]
 [133.52994839 130.36606033 109.28230608]
 [ 83.5877942   56.4107648   31.6921599 ]]","[0.4653833333333333, 0.1562375, 0.37837916666666666]",IMG2747,1,2,1,10,1,4,1,4,1,9,Unknow
IMG2747_5,80.41932192,-25.01728035,"[[ 99.0103008   96.74289144  76.21677007]
 [145.62055483 125.74140635  97.36985547]
 [ 60.98325223  50.29715967  32.98295047]]","[0.3925958333333333, 0.4964208333333333, 0.11098333333333334]",IMG2747,1,2,1,10,1,4,1,4,1,9,Unknow
